Drug_A;Drug_B;Level
Roflumilast;Olaratumab;Moderate
Astemizole;Trazodone;Moderate
Trazodone;Azatadine;Moderate
Trazodone;Pentoxyverine;Moderate
Trazodone;Clofedanol;Moderate
Trazodone;Cyclizine;Moderate
Cyproheptadine;Trazodone;Moderate
Dexbrompheniramine;Trazodone;Moderate
Trazodone;Indacaterol;Moderate
Trazodone;Isoprenaline;Moderate
Trazodone;Levocetirizine;Moderate
Trazodone;Meclizine;Moderate
Trazodone;Orciprenaline;Moderate
Trazodone;Methdilazine;Moderate
Trazodone;Olodaterol;Moderate
Trazodone;Olopatadine (nasal);Moderate
Trazodone;Phenindamine;Moderate
Trazodone;Promethazine;Moderate
Trazodone;Salmeterol;Moderate
Trazodone;Terbutaline;Moderate
Terfenadine;Trazodone;Moderate
Thiethylperazine;Trazodone;Moderate
Trazodone;Alimemazine;Moderate
Trazodone;Trimethobenzamide;Moderate
Trazodone;Tripelennamine;Moderate
Triprolidine;Trazodone;Moderate
Vitamin A;Omadacycline;Major
Omalizumab;Echinacea;Minor
Omalizumab;Omacetaxine mepesuccinate;Moderate
Omalizumab;Vitamin E;Minor
Omalizumab;Zinc acetate;Minor
Omalizumab;Zinc chloride;Minor
Omalizumab;Zinc gluconate;Minor
Ritonavir;Indacaterol;Minor
Montelukast;Rifabutin;Moderate
Rifabutin;Prednisolone;Moderate
Ephedrine;Sodium bicarbonate;Moderate
Ephedrine (nasal);Sodium bicarbonate;Moderate
Prednisolone;Sodium bicarbonate;Minor
Azatadine;Orphenadrine;Moderate
Orphenadrine;Pentoxyverine;Moderate
Orphenadrine;Clofedanol;Moderate
Orphenadrine;Chlorcyclizine;Moderate
Orphenadrine;Cyclizine;Moderate
Cyproheptadine;Orphenadrine;Moderate
Dexbrompheniramine;Orphenadrine;Moderate
Glycopyrronium (topical);Orphenadrine;Moderate
Orphenadrine;Levocetirizine;Moderate
Meclizine;Orphenadrine;Moderate
Methdilazine;Orphenadrine;Moderate
Olopatadine (nasal);Orphenadrine;Moderate
Orphenadrine;Phenindamine;Moderate
Promethazine;Orphenadrine;Moderate
Orphenadrine;Revefenacin;Moderate
Thiethylperazine;Orphenadrine;Moderate
Orphenadrine;Tiotropium;Moderate
Orphenadrine;Alimemazine;Moderate
Trimethobenzamide;Orphenadrine;Moderate
Tripelennamine;Orphenadrine;Moderate
Triprolidine;Orphenadrine;Moderate
Orphenadrine;Umeclidinium;Moderate
Methotrexate;Flurbiprofen;Major
Methotrexate;Mercaptopurine;Minor
Methotrexate;Neomycin;Moderate
Methotrexate;Prednisolone;Moderate
Methotrexate;Roflumilast;Moderate
Zafirlukast;Methotrexate;Moderate
Oxandrolone;Prednisolone;Moderate
Triamcinolone (ophthalmic);Oxandrolone;Moderate
Azatadine;Sodium oxybate;Major
Chlorcyclizine;Sodium oxybate;Major
Cyclizine;Sodium oxybate;Major
Cyproheptadine;Sodium oxybate;Major
Dexbrompheniramine;Sodium oxybate;Major
Diphenhydramine (topical);Sodium oxybate;Major
Meclizine;Sodium oxybate;Major
Methdilazine;Sodium oxybate;Major
Olopatadine (nasal);Sodium oxybate;Major
Phenindamine;Sodium oxybate;Major
Thiethylperazine;Sodium oxybate;Major
Alimemazine;Sodium oxybate;Major
Trimethobenzamide;Sodium oxybate;Major
Tripelennamine;Sodium oxybate;Major
Triprolidine;Sodium oxybate;Major
Prednisolone;Oxymetholone;Moderate
Triamcinolone (ophthalmic);Oxymetholone;Moderate
Prednisolone;Patiromer;Moderate
Prednisolone;Pembrolizumab;Moderate
Phenoxymethylpenicillin;Neomycin;Moderate
Astemizole;Pentamidine;Moderate
Pentamidine;Indacaterol;Moderate
Pentamidine;Isoprenaline;Moderate
Pentamidine;Orciprenaline;Moderate
Pentamidine;Olodaterol;Moderate
Pentamidine;Promethazine;Moderate
Pentamidine;Salmeterol;Moderate
Pentamidine;Terbutaline;Moderate
Terfenadine;Pentamidine;Moderate
Pentamidine;Alimemazine;Moderate
Pentazocine;Azatadine;Moderate
Pentazocine;Pentoxyverine;Moderate
Pentazocine;Clofedanol;Moderate
Pentazocine;Chlorcyclizine;Moderate
Pentazocine;Cyclizine;Moderate
Cyproheptadine;Pentazocine;Moderate
Dexbrompheniramine;Pentazocine;Moderate
Pentazocine;Levocetirizine;Moderate
Pentazocine;Meclizine;Moderate
Pentazocine;Methdilazine;Moderate
Pentazocine;Olopatadine (nasal);Moderate
Pentazocine;Phenindamine;Moderate
Pentazocine;Promethazine;Moderate
Thiethylperazine;Pentazocine;Moderate
Pentazocine;Alimemazine;Moderate
Pentazocine;Trimethobenzamide;Moderate
Pentazocine;Tripelennamine;Moderate
Triprolidine;Pentazocine;Moderate
Mannitol;Perindopril;Moderate
Olopatadine (nasal);Perindopril;Moderate
Perindopril;Bromotheophylline;Moderate
Perindopril;Potassium Iodide;Major
Trastuzumab;Roflumilast;Moderate
Topiramate;Azatadine;Major
Topiramate;Chlorcyclizine;Major
Topiramate;Cyclizine;Major
Topiramate;Cyproheptadine;Major
Topiramate;Dexbrompheniramine;Major
Phentermine;Ephedrine;Moderate
Phentermine;Indacaterol;Moderate
Phentermine;Isoprenaline;Moderate
Topiramate;Meclizine;Major
Phentermine;Orciprenaline;Moderate
Topiramate;Methdilazine;Major
Phentermine;Olodaterol;Moderate
Topiramate;Phenindamine;Major
Phentermine;Phenylpropanolamine;Major
Phentermine;Salmeterol;Moderate
Phentermine;Terbutaline;Moderate
Topiramate;Thiethylperazine;Major
Topiramate;Alimemazine;Major
Topiramate;Trimethobenzamide;Moderate
Topiramate;Tripelennamine;Major
Topiramate;Triprolidine;Major
Phentolamine;Methdilazine;Moderate
Phentolamine;Olopatadine (nasal);Moderate
Phentolamine;Pentoxifylline;Moderate
Phentolamine;Promethazine;Moderate
Thiethylperazine;Phentolamine;Moderate
Phentolamine;Alimemazine;Moderate
Pilocarpine;Cyclizine;Moderate
Glycopyrronium (topical);Pilocarpine;Moderate
Meclizine;Pilocarpine;Moderate
Pilocarpine;Revefenacin;Moderate
Pilocarpine;Tiotropium;Moderate
Pilocarpine;Umeclidinium;Moderate
Azatadine;Pilocarpine (ophthalmic);Moderate
Pilocarpine (ophthalmic);Chlorcyclizine;Moderate
Pilocarpine (ophthalmic);Cyclizine;Moderate
Cyproheptadine;Pilocarpine (ophthalmic);Moderate
Dexbrompheniramine;Pilocarpine (ophthalmic);Moderate
Glycopyrronium (topical);Pilocarpine (ophthalmic);Moderate
Meclizine;Pilocarpine (ophthalmic);Moderate
Methdilazine;Pilocarpine (ophthalmic);Moderate
Pilocarpine (ophthalmic);Phenindamine;Moderate
Promethazine;Pilocarpine (ophthalmic);Moderate
Pilocarpine (ophthalmic);Revefenacin;Moderate
Thiethylperazine;Pilocarpine (ophthalmic);Moderate
Pilocarpine (ophthalmic);Tiotropium;Moderate
Pilocarpine (ophthalmic);Alimemazine;Moderate
Tripelennamine;Pilocarpine (ophthalmic);Moderate
Triprolidine;Pilocarpine (ophthalmic);Moderate
Pilocarpine (ophthalmic);Umeclidinium;Moderate
Glimepiride;Ephedrine;Moderate
Glimepiride;Flurbiprofen;Moderate
Glimepiride;Indacaterol;Moderate
Glimepiride;Isoprenaline;Moderate
Glimepiride;Orciprenaline;Moderate
Glimepiride;Methdilazine;Moderate
Glimepiride;Pentoxifylline;Moderate
Phenylpropanolamine;Pioglitazone;Moderate
Glimepiride;Prednisolone;Moderate
Glimepiride;Promethazine;Moderate
Salmeterol;Pioglitazone;Moderate
Glimepiride;Terbutaline;Moderate
Glimepiride;Thiethylperazine;Moderate
Glimepiride;Triamcinolone (ophthalmic);Moderate
Glimepiride;Alimemazine;Moderate
Metformin;Isoprenaline;Moderate
Terazosin;Mepyramine;Moderate
Ephedrine;Potassium citrate;Moderate
Flurbiprofen;Monopotassium phosphate;Moderate
Amprenavir;Prednisolone (ophthalmic);Moderate
Prednisolone (ophthalmic);Boceprevir;Moderate
Prednisolone (ophthalmic);Fedratinib;Moderate
Flurbiprofen (ophthalmic);Prednisolone (ophthalmic);Moderate
Prednisolone (ophthalmic);Fosamprenavir;Moderate
Prednisolone (ophthalmic);Idelalisib;Moderate
Indinavir;Prednisolone (ophthalmic);Moderate
Prednisolone (ophthalmic);Itraconazole;Moderate
Prednisolone (ophthalmic);Ketoconazole;Moderate
Prednisolone (ophthalmic);Lonafarnib;Moderate
Prednisolone (ophthalmic);Miconazole;Moderate
Prednisolone (ophthalmic);Nefazodone;Moderate
Nelfinavir;Prednisolone (ophthalmic);Moderate
Prednisolone (ophthalmic);Nepafenac (ophthalmic);Moderate
Prednisolone (ophthalmic);Posaconazole;Moderate
Prednisolone (ophthalmic);Saquinavir;Moderate
Prednisolone (ophthalmic);Smallpox (Vaccinia) Vaccine/ Live;Major
Prednisolone (ophthalmic);Suprofen (ophthalmic);Moderate
Prednisolone (ophthalmic);Telaprevir;Moderate
Prednisolone (ophthalmic);Telithromycin;Moderate
Prednisolone (ophthalmic);Troleandomycin;Moderate
Prednisolone (ophthalmic);Tucatinib;Moderate
Voriconazole;Prednisolone (ophthalmic);Moderate
Prednisolone (ophthalmic);Voxelotor;Moderate
Valsartan;Pentoxifylline;Moderate
Valsartan;Promethazine;Moderate
Valsartan;Mepyramine;Moderate
Valsartan;Thiethylperazine;Moderate
Valsartan;Alimemazine;Moderate
Abarelix;Promethazine;Moderate
Promethazine;Aluminum hydroxide;Minor
Promethazine;Amyl Nitrite;Moderate
Astemizole;Promethazine;Moderate
Azatadine;Promethazine;Moderate
Benzthiazide;Promethazine;Moderate
Promethazine;Berotralstat;Moderate
Butabarbital;Promethazine;Moderate
Promethazine;Candida albicans;Moderate
Promethazine;Pentoxyverine;Moderate
Promethazine;Activated charcoal;Moderate
Promethazine;Clofedanol;Moderate
Promethazine;Chloral hydrate;Moderate
Promethazine;Chlorcyclizine;Moderate
Promethazine;Chlormezanone;Moderate
Chlorphenesin;Promethazine;Moderate
Chlorpromazine;Promethazine;Moderate
Promethazine;Coccidioides immitis spherule;Moderate
Promethazine;Cyclandelate;Moderate
Promethazine;Cyclizine;Moderate
Cyproheptadine;Promethazine;Moderate
Demecarium (ophthalmic);Promethazine;Moderate
Dexbrompheniramine;Promethazine;Moderate
Promethazine;Dezocine;Moderate
Dimenhydrinate;Promethazine;Moderate
Doxorubicin (liposomal);Promethazine;Moderate
Entacapone;Promethazine;Moderate
Promethazine;Entrectinib;Moderate
Promethazine;Enzalutamide;Moderate
Promethazine;Ephedrine;Moderate
Epirubicin;Promethazine;Moderate
Eplerenone;Promethazine;Moderate
Eprosartan;Promethazine;Moderate
Promethazine;Eribulin;Moderate
Promethazine;Esketamine;Moderate
Promethazine;Eslicarbazepine;Moderate
Promethazine;Estazolam;Moderate
Eszopiclone;Promethazine;Moderate
Etacrynic acid;Promethazine;Moderate
Ethosuximide;Promethazine;Moderate
Ethotoin;Promethazine;Moderate
Promethazine;Exenatide;Moderate
Promethazine;Ezogabine;Moderate
Promethazine;Fedratinib;Moderate
Felbamate;Promethazine;Moderate
Felodipine;Promethazine;Moderate
Fenoldopam;Promethazine;Moderate
Promethazine;Fesoterodine;Moderate
Promethazine;Flecainide;Moderate
Promethazine;Flibanserin;Moderate
Fluconazole;Promethazine;Moderate
Fluphenazine;Promethazine;Moderate
Flurazepam;Promethazine;Moderate
Flutamide;Promethazine;Moderate
Fluvoxamine;Promethazine;Moderate
Foscarnet;Promethazine;Moderate
Fosinopril;Promethazine;Moderate
Promethazine;Fosphenytoin;Moderate
Promethazine;Fostemsavir;Moderate
Furosemide;Promethazine;Moderate
Gabapentin;Promethazine;Moderate
Galantamine;Promethazine;Moderate
Promethazine;Gemifloxacin;Moderate
Promethazine;Gilteritinib;Moderate
Promethazine;Ginkgo biloba;Moderate
Promethazine;Givosiran;Moderate
Promethazine;Glasdegib;Moderate
Promethazine;Glycerol phenylbutyrate;Moderate
Glycopyrronium (topical);Promethazine;Moderate
Goserelin;Promethazine;Moderate
Granisetron;Promethazine;Moderate
Guanabenz;Promethazine;Moderate
Guanfacine;Promethazine;Moderate
Halazepam;Promethazine;Moderate
Promethazine;Diamorphine;Moderate
Promethazine;Histamine;Moderate
Promethazine;Histrelin;Moderate
Promethazine;Hydralazine;Moderate
Hydroflumethiazide;Promethazine;Moderate
Hydromorphone;Promethazine;Moderate
Hydroxyzine;Promethazine;Moderate
Promethazine;Idarubicin;Moderate
Promethazine;Ifosfamide;Moderate
Imatinib;Promethazine;Moderate
Promethazine;Indacaterol;Moderate
Indapamide;Promethazine;Moderate
Promethazine;Inotuzumab ozogamicin;Moderate
Promethazine;Insulin degludec;Moderate
Promethazine;Insulin detemir;Moderate
Insulin glargine;Promethazine;Moderate
Promethazine;Insulin glulisine;Moderate
Insulin human (inhalation/ rapid acting);Promethazine;Moderate
Insulin human (isophane);Promethazine;Moderate
Insulin human (zinc);Promethazine;Moderate
Promethazine;Iobenguane (I-123);Moderate
Promethazine;Ioflupane I-123;Moderate
Ipratropium (nasal);Promethazine;Minor
Irbesartan;Promethazine;Moderate
Isoflurophate (ophthalmic);Promethazine;Moderate
Promethazine;Isosorbide;Moderate
Isosorbide dinitrate;Promethazine;Moderate
Isosorbide mononitrate;Promethazine;Moderate
Promethazine;Isoxsuprine;Moderate
Promethazine;Kava;Moderate
Promethazine;Ketamine;Moderate
Lamotrigine;Promethazine;Moderate
Promethazine;Lapatinib;Moderate
Promethazine;Lasmiditan;Moderate
Promethazine;Lemborexant;Moderate
Promethazine;Lenvatinib;Moderate
Promethazine;Levosalbutamol;Moderate
Promethazine;Levamlodipine;Moderate
Promethazine;Levocetirizine;Moderate
Promethazine;Levofloxacin;Moderate
Levorphanol;Promethazine;Moderate
Promethazine;Linagliptin;Moderate
Lindane;Promethazine;Moderate
Promethazine;Liraglutide;Moderate
Lisinopril;Promethazine;Moderate
Promethazine;Lithium carbonate;Moderate
Promethazine;Lixisenatide;Moderate
Promethazine;Lofexidine;Moderate
Lomefloxacin;Promethazine;Moderate
Lorazepam;Promethazine;Moderate
Losartan;Promethazine;Moderate
Loxapine;Promethazine;Moderate
Promethazine;Lumateperone;Moderate
Promethazine;Lurasidone;Moderate
Promethazine;Macimorelin;Major
Promethazine;Magaldrate;Minor
Promethazine;Magnesium carbonate;Minor
Promethazine;Magnesium hydroxide;Minor
Promethazine;Magnesium oxide;Minor
Maprotiline;Promethazine;Moderate
Promethazine;Maraviroc;Moderate
Mazindol;Promethazine;Moderate
Meclizine;Promethazine;Moderate
Memantine;Promethazine;Moderate
Meperidine;Promethazine;Moderate
Mephenytoin;Promethazine;Moderate
Methylphenobarbital;Promethazine;Moderate
Meprobamate;Promethazine;Moderate
Metaxalone;Promethazine;Moderate
Promethazine;Metamfetamine;Moderate
Methdilazine;Promethazine;Moderate
Methocarbamol;Promethazine;Moderate
Methohexital;Promethazine;Minor
Promethazine;Methotrimeprazine;Moderate
Methoxsalen;Promethazine;Moderate
Promethazine;Methsuximide;Moderate
Methyl aminolevulinate (topical);Promethazine;Moderate
Metronidazole;Promethazine;Minor
Metyrosine;Promethazine;Moderate
Midazolam;Promethazine;Moderate
Midodrine;Promethazine;Moderate
Promethazine;Midostaurin;Moderate
Miglitol;Promethazine;Moderate
Promethazine;Mirabegron;Moderate
Mirtazapine;Promethazine;Moderate
Moexipril;Promethazine;Moderate
Promethazine;Molindone;Moderate
Morphine (liposomal);Promethazine;Moderate
Nabilone;Promethazine;Moderate
Nalbuphine;Promethazine;Moderate
Nateglinide;Promethazine;Moderate
Promethazine;Nefazodone;Moderate
Nicardipine;Promethazine;Moderate
Nilutamide;Promethazine;Moderate
Nimodipine;Promethazine;Moderate
Nisoldipine;Promethazine;Moderate
Nitroglycerin;Promethazine;Moderate
Norfloxacin;Promethazine;Moderate
Promethazine;Ofloxacin;Moderate
Olanzapine;Promethazine;Moderate
Promethazine;Oliceridine;Moderate
Olmesartan;Promethazine;Moderate
Olopatadine (nasal);Promethazine;Moderate
Ondansetron;Promethazine;Moderate
Promethazine;Opicapone;Moderate
Promethazine;Opium;Moderate
Promethazine;Osilodrostat;Moderate
Oxaliplatin;Promethazine;Moderate
Oxazepam;Promethazine;Moderate
Oxcarbazepine;Promethazine;Moderate
Promethazine;Oxymorphone;Moderate
Promethazine;Paliperidone;Moderate
Promethazine;Papaverine;Moderate
Promethazine;Paraldehyde;Moderate
Paramethadione;Promethazine;Moderate
Paroxetine;Promethazine;Moderate
Promethazine;Pazopanib;Moderate
Promethazine;Pemoline;Moderate
Pentobarbital;Promethazine;Moderate
Promethazine;Perampanel;Moderate
Perflutren;Promethazine;Moderate
Promethazine;Pergolide;Moderate
Perindopril;Promethazine;Moderate
Perphenazine;Promethazine;Moderate
Promethazine;Phenacemide;Moderate
Promethazine;Phendimetrazine;Moderate
Promethazine;Phenindamine;Moderate
Phenoxybenzamine;Promethazine;Moderate
Phensuximide;Promethazine;Moderate
Phenytoin;Promethazine;Moderate
Physostigmine (ophthalmic);Promethazine;Moderate
Promethazine;Pimavanserin;Moderate
Promethazine;Pioglitazone;Moderate
Promethazine;Pitolisant;Moderate
Promethazine;Polythiazide;Moderate
Porfimer sodium;Promethazine;Moderate
Promethazine;Posaconazole;Moderate
Pramipexole;Promethazine;Moderate
Promethazine;Primaquine;Moderate
Primidone;Promethazine;Moderate
Promethazine;Probucol;Moderate
Procyclidine;Promethazine;Moderate
Promazine;Promethazine;Moderate
Promethazine;Propafenone;Moderate
Propiomazine;Promethazine;Moderate
Promethazine;Quazepam;Moderate
Promethazine;Quetiapine;Moderate
Quinidine;Promethazine;Major
Quinine;Promethazine;Moderate
Ramelteon;Promethazine;Moderate
Ranolazine;Promethazine;Moderate
Promethazine;Relugolix;Moderate
Remifentanil;Promethazine;Moderate
Promethazine;Remimazolam;Moderate
Promethazine;Revefenacin;Moderate
Botulinum Toxin Type B;Promethazine;Moderate
Risperidone;Promethazine;Moderate
Rivastigmine;Promethazine;Moderate
Promethazine;Rolapitant;Moderate
Promethazine;Romidepsin;Moderate
Ropinirole;Promethazine;Moderate
Rosiglitazone;Promethazine;Moderate
Promethazine;Rotigotine;Moderate
Promethazine;Rucaparib;Moderate
Promethazine;Rufinamide;Moderate
Secobarbital;Promethazine;Moderate
Promethazine;Semaglutide;Moderate
Promethazine;Sertraline;Moderate
Promethazine;Sevoflurane;Moderate
Promethazine;Sibutramine;Moderate
Promethazine;Silodosin;Moderate
Promethazine;Sitagliptin;Moderate
Promethazine;Iodide I-123;Moderate
Promethazine;Iodide I-131;Moderate
Promethazine;Solifenacin;Moderate
Sorafenib;Promethazine;Moderate
Promethazine;St. John's Wort;Moderate
Promethazine;Stiripentol;Moderate
Sucralfate;Promethazine;Minor
Sufentanil;Promethazine;Moderate
Sulfamethoxazole;Promethazine;Minor
Promethazine;Sunitinib;Moderate
Promethazine;Suvorexant;Moderate
Tacrine;Promethazine;Moderate
Tacrolimus;Promethazine;Moderate
Tamoxifen;Promethazine;Moderate
Promethazine;Tapentadol;Moderate
Promethazine;Tasimelteon;Moderate
Promethazine;Telavancin;Moderate
Telithromycin;Promethazine;Moderate
Telmisartan;Promethazine;Moderate
Temazepam;Promethazine;Moderate
Promethazine;Terazosin;Moderate
Terbinafine;Promethazine;Moderate
Terfenadine;Promethazine;Moderate
Thalidomide;Promethazine;Moderate
Thiethylperazine;Promethazine;Moderate
Thiopental;Promethazine;Minor
Promethazine;Thiothixene;Moderate
Tiagabine;Promethazine;Moderate
Promethazine;Tiotropium;Moderate
Tizanidine;Promethazine;Moderate
Tolazoline;Promethazine;Moderate
Tolcapone;Promethazine;Moderate
Tolterodine;Promethazine;Moderate
Torasemide;Promethazine;Moderate
Trandolapril;Promethazine;Moderate
Triamterene;Promethazine;Moderate
Triazolam;Promethazine;Moderate
Trichlormethiazide;Promethazine;Moderate
Promethazine;Trichophyton mentagrophytes;Moderate
Promethazine;Triclabendazole;Moderate
Trifluoperazine;Promethazine;Moderate
Triflupromazine;Promethazine;Moderate
Trihexyphenidyl;Promethazine;Moderate
Promethazine;Alimemazine;Moderate
Trimethadione;Promethazine;Moderate
Trimethobenzamide;Promethazine;Moderate
Tripelennamine;Promethazine;Moderate
Triprolidine;Promethazine;Moderate
Promethazine;Triptorelin;Moderate
Troglitazone;Promethazine;Moderate
Trospium;Promethazine;Moderate
Promethazine;Tuberculin purified protein derivative;Moderate
Promethazine;Umeclidinium;Moderate
Promethazine;Valbenazine;Moderate
Promethazine;Valerian;Moderate
Vardenafil;Promethazine;Moderate
Vasopressin;Promethazine;Moderate
Venlafaxine;Promethazine;Moderate
Verteporfin;Promethazine;Moderate
Promethazine;Vigabatrin;Moderate
Voriconazole;Promethazine;Moderate
Zaleplon;Promethazine;Moderate
Promethazine;Ziconotide;Moderate
Zolpidem;Promethazine;Moderate
Promethazine;Ozanimod;Major
Astemizole;Dextropropoxyphene;Moderate
Dextropropoxyphene;Azatadine;Major
Dextropropoxyphene;Chlorcyclizine;Major
Dextropropoxyphene;Cyclizine;Major
Cyproheptadine;Dextropropoxyphene;Major
Dexbrompheniramine;Dextropropoxyphene;Major
Dextropropoxyphene;Indacaterol;Moderate
Dextropropoxyphene;Isoprenaline;Moderate
Dextropropoxyphene;Meclizine;Major
Dextropropoxyphene;Orciprenaline;Moderate
Dextropropoxyphene;Methdilazine;Major
Dextropropoxyphene;Olodaterol;Moderate
Dextropropoxyphene;Phenindamine;Major
Dextropropoxyphene;Salmeterol;Moderate
Dextropropoxyphene;Terbutaline;Moderate
Terfenadine;Dextropropoxyphene;Moderate
Thiethylperazine;Dextropropoxyphene;Major
Dextropropoxyphene;Alimemazine;Major
Dextropropoxyphene;Trimethobenzamide;Major
Dextropropoxyphene;Tripelennamine;Major
Triprolidine;Dextropropoxyphene;Major
Propranolol;Aminophylline;Major
Propranolol;Flurbiprofen;Moderate
Propranolol;Indacaterol;Major
Propranolol;Orciprenaline;Major
Propranolol;Olodaterol;Major
Propranolol;Oxtriphylline;Major
Propranolol;Prednisolone;Moderate
Propranolol;Salmeterol;Major
Propranolol;Terbutaline;Major
Mepyramine;Candida albicans;Moderate
Clofedanol;Mepyramine;Moderate
Dexbrompheniramine;Mepyramine;Moderate
Eprosartan;Mepyramine;Moderate
Mepyramine;Esketamine;Moderate
Ezogabine;Mepyramine;Moderate
Fenoldopam;Mepyramine;Moderate
Mepyramine;Fesoterodine;Moderate
Fluvoxamine;Mepyramine;Moderate
Fosphenytoin;Mepyramine;Moderate
Galantamine;Mepyramine;Moderate
Histamine;Mepyramine;Moderate
Iloperidone;Mepyramine;Moderate
Ipratropium (nasal);Mepyramine;Minor
Irbesartan;Mepyramine;Moderate
Lamotrigine;Mepyramine;Moderate
Mepyramine;Levamlodipine;Moderate
Losartan;Mepyramine;Moderate
Mepyramine;Lurasidone;Moderate
Memantine;Mepyramine;Moderate
Mirtazapine;Mepyramine;Moderate
Moexipril;Mepyramine;Moderate
Nabilone;Mepyramine;Moderate
Nefazodone;Mepyramine;Moderate
Nisoldipine;Mepyramine;Moderate
Olanzapine;Mepyramine;Moderate
Mepyramine;Opicapone;Moderate
Paliperidone;Mepyramine;Moderate
Physostigmine (ophthalmic);Mepyramine;Moderate
Mepyramine;Pitolisant;Moderate
Pramipexole;Mepyramine;Moderate
Prazosin;Mepyramine;Moderate
Quetiapine;Mepyramine;Moderate
Ramelteon;Mepyramine;Moderate
Remifentanil;Mepyramine;Moderate
Mepyramine;Revefenacin;Moderate
Ropinirole;Mepyramine;Moderate
Rotigotine;Mepyramine;Moderate
Sibutramine;Mepyramine;Moderate
Silodosin;Mepyramine;Moderate
Mepyramine;Iodide I-123;Moderate
St. John's Wort;Mepyramine;Moderate
Mepyramine;Stiripentol;Moderate
Phenylephrine;Tapentadol;Moderate
Thalidomide;Mepyramine;Moderate
Tiagabine;Mepyramine;Moderate
Tiotropium;Mepyramine;Moderate
Tolcapone;Mepyramine;Moderate
Tolterodine;Mepyramine;Moderate
Trandolapril;Mepyramine;Moderate
Mepyramine;Trichophyton mentagrophytes;Moderate
Mepyramine;Umeclidinium;Moderate
Mepyramine;Valerian;Moderate
Vigabatrin;Mepyramine;Moderate
Zaleplon;Mepyramine;Moderate
Succinylcholine;Aminophylline;Moderate
Succinylcholine;Mannitol;Moderate
Succinylcholine;Neomycin;Major
Succinylcholine;Oxtriphylline;Moderate
Succinylcholine;Terbutaline;Moderate
Mannitol;Quinapril;Moderate
Quinapril;Potassium Iodide;Major
Astemizole;Dalfopristin;Major
Betamethasone;Dalfopristin;Moderate
Budesonide;Dalfopristin;Moderate
Budesonide (nasal);Dalfopristin;Moderate
Cocaine (nasal);Dalfopristin;Moderate
Cocaine (topical);Dalfopristin;Moderate
Dexamethasone;Dalfopristin;Moderate
Dalfopristin;Fluticasone;Moderate
Dalfopristin;Fluticasone (nasal);Moderate
Hydrocodone;Dalfopristin;Major
Hydrocortisone;Dalfopristin;Moderate
Dalfopristin;Indacaterol;Minor
Dalfopristin;Ivacaftor;Major
Lidocaine;Dalfopristin;Moderate
Loratadine;Dalfopristin;Moderate
Prednisolone;Dalfopristin;Moderate
Terfenadine;Dalfopristin;Major
Triamcinolone;Dalfopristin;Moderate
Aminophylline;Regadenoson;Moderate
Oxtriphylline;Regadenoson;Moderate
Vitamin A;Sevelamer;Moderate
Pentoxifylline;Repaglinide;Moderate
Phenylpropanolamine;Repaglinide;Moderate
Repaglinide;Salmeterol;Moderate
Terbutaline;Repaglinide;Moderate
Thiethylperazine;Repaglinide;Moderate
Ropinirole;Azatadine;Moderate
Ropinirole;Pentoxyverine;Moderate
Ropinirole;Clofedanol;Moderate
Ropinirole;Cyclizine;Moderate
Ropinirole;Cyproheptadine;Moderate
Ropinirole;Dexbrompheniramine;Moderate
Ropinirole;Levocetirizine;Moderate
Ropinirole;Methdilazine;Moderate
Ropinirole;Olopatadine (nasal);Moderate
Ropinirole;Thiethylperazine;Moderate
Ropinirole;Alimemazine;Moderate
Ropinirole;Trimethobenzamide;Moderate
Ropinirole;Tripelennamine;Moderate
Ropinirole;Triprolidine;Moderate
Phenylephrine;Lithium carbonate;Minor
Venlafaxine;Phenylephrine;Moderate
Ribavirin;Mercaptopurine;Major
Riluzole;Aminophylline;Minor
Botulinum Toxin Type B;Azatadine;Moderate
Botulinum Toxin Type B;Chlorcyclizine;Moderate
Botulinum Toxin Type B;Cyclizine;Moderate
Botulinum Toxin Type B;Cyproheptadine;Moderate
Botulinum Toxin Type B;Dexbrompheniramine;Moderate
Botulinum Toxin Type B;Meclizine;Moderate
Botulinum Toxin Type B;Methdilazine;Moderate
Botulinum Toxin Type B;Neomycin;Major
Botulinum Toxin Type B;Phenindamine;Moderate
Botulinum Toxin Type B;Thiethylperazine;Moderate
Botulinum Toxin Type B;Alimemazine;Moderate
Botulinum Toxin Type B;Tripelennamine;Moderate
Botulinum Toxin Type B;Triprolidine;Moderate
Flurbiprofen (ophthalmic);Rimexolone (ophthalmic);Moderate
Roflumilast;Risankizumab;Moderate
Astemizole;Risperidone;Moderate
Azatadine;Risperidone;Moderate
Risperidone;Pentoxyverine;Moderate
Risperidone;Clofedanol;Moderate
Risperidone;Chlorcyclizine;Moderate
Risperidone;Cyclizine;Moderate
Cyproheptadine;Risperidone;Moderate
Dexbrompheniramine;Risperidone;Moderate
Risperidone;Glycopyrronium (topical);Moderate
Risperidone;Indacaterol;Moderate
Ipratropium;Risperidone;Moderate
Risperidone;Isoprenaline;Moderate
Risperidone;Levocetirizine;Moderate
Risperidone;Meclizine;Moderate
Risperidone;Orciprenaline;Moderate
Risperidone;Methdilazine;Moderate
Risperidone;Olodaterol;Moderate
Risperidone;Olopatadine (nasal);Moderate
Risperidone;Phenindamine;Moderate
Risperidone;Revefenacin;Moderate
Risperidone;Salmeterol;Moderate
Risperidone;Terbutaline;Moderate
